APOGEE_ID,TELESCOPE,FIELD,SNR,STARFLAG,ASPCAPFLAG,VHELIO_AVG,TEFF,LOGG,FE_H
2M05410279+1618154,apo25m,191-08,151.74757,0,0,52.880642,4960.5405,2.4756052,-0.41084
2M11024480-1138573,apo25m,266+44,170.13344,0,0,73.893135,5064.8276,2.4556496,-0.68623
2M07595442-7016356,lco25m,283-19-O_TESS,202.42686,0,0,137.79897,4259.522,1.0291309,-1.309
2M18340632+0408023,apo25m,034+06,161.91359,0,0,-69.37791,4331.9805,1.9237227,-0.386
2M19224299-1228476,apo25m,025-12,148.4167,0,0,63.533916,4631.0825,2.054465,-0.43449
2M12330395-5746168,lco25m,300+04,286.70456,0,0,85.36737,3817.0073,0.9849295,-0.30789
2M02482105+5608476,apo25m,139-04,125.41617,0,0,-62.582733,4938.2056,2.7377267,0.036166
2M16131206+4029329,apo25m,066+47_MGA,494.1682,0,0,8.245929,5115.345,2.8038921,-0.14412
2M09372530-6043496,lco25m,281-06,256.6084,0,0,3.9785786,4882.918,2.4574528,-0.25406
2M12195680-6238528,lco25m,300+00,264.43417,0,0,-37.558216,4054.902,1.607863,0.18496
2M17200288-3737039,lco25m,350+00,101.59448,0,0,30.830763,4378.3154,2.4372194,0.39175
2M12101434-7438139,lco25m,300-12,359.47757,0,0,-6.655557,4291.926,2.1514452,0.23805
2M00232032-7158595,lco25m,47TUC,157.4926,0,0,-15.652849,4729.6694,2.274429,-0.65953
2M17515636-2942250,lco25m,000-02,320.3005,0,0,-58.810036,3822.0854,0.7113301,-0.94632
2M13043358+2736325,apo25m,048+88_MGA,548.93695,0,0,35.19269,4917.7344,3.3767064,-0.034309
2M05153021+3712203,apo25m,169+00,390.00604,0,0,6.299735,3895.6638,0.9120449,-0.4796
2M23145410+5124585,apo25m,109-08,345.76062,0,0,-153.99573,3654.297,0.50683856,-0.55587
2M08350774-3925449,lco25m,259+00,140.81323,0,0,17.138165,4715.985,2.8282535,-0.070993
2M04571960+3150120,apo25m,TAUL1517_btx,110.012535,0,0,18.496899,4657.047,2.3223832,-0.28716
2M06233421-6113391,lco25m,271-27-O_TESS,124.592606,0,0,16.435284,4580.884,2.4797697,-0.052566
2M07384070+2920452,apo25m,191+22_MGA,608.79034,0,0,61.496384,4897.153,2.6158552,-0.019651
2M22230470-0731008,lco25m,056-50-O,106.47087,0,0,-4.2328634,6000.5654,4.1320834,-0.31695
2M21503103+7122546,apo25m,109+12,212.97752,0,0,-155.74432,3883.0864,0.72996426,-0.80471
2M06022836+1409128,apo25m,195-04,147.04257,0,0,47.061848,4861.281,2.654254,-0.41507
2M23150562-0758531,apo25m,K2_C12_071-60_btx,343.35516,0,0,9.260242,6082.675,4.35242,0.26461
2M06092024-0722113,apo25m,214-12,405.0251,0,0,68.74287,4150.0996,1.3791103,-0.42227
2M22321592+6606488,apo25m,109+08,106.9874,0,0,-33.496174,4753.869,2.5264678,-0.12
2M22150030+4026495,apo25m,094-12,243.71959,0,0,0.49666947,5049.4937,2.743098,-0.07485
2M17322955-3940515,lco25m,350-04,421.86252,0,0,-25.149632,4177.2407,1.3845496,-0.39163
2M17454774-2739573,apo25m,001+01,120.949715,0,0,-218.6232,3990.1592,0.8462729,-1.0629
2M17275056-2614526,lco25m,000+05-O,166.32475,0,0,-28.282932,3916.5474,0.9867574,-0.74287
2M23330495+4853371,apo25m,109-12,123.562836,0,0,-96.98714,4448.2983,1.8050628,-0.40911
2M05475307+5147459,apo25m,160+12,355.60248,0,0,18.472094,4555.1826,2.1500428,-0.34944
2M04115383+2419413,apo25m,K2_C4_172-20,486.08176,0,0,12.707448,4998.6055,2.4973376,-0.4365
2M17281618-5637252,lco25m,335-12,131.65736,0,0,-57.327305,4589.9814,2.139273,-0.66281
2M10383516+0515173,apo25m,241+52_MGA,643.78644,0,0,26.477703,4613.4907,2.1927054,-0.2231
2M00251422+7045558,apo25m,120+08,180.93642,0,0,-35.90143,4786.2285,2.6397657,-0.10523
2M13523341+0330592,apo25m,335+61_btx,347.90607,0,0,-25.621881,4245.157,1.121086,-1.0704
2M09452687+0505270,apo25m,230+40_MGA,262.05298,0,0,90.490074,4122.4976,1.1662178,-0.72222
2M06504242-7050463,lco25m,282-25-O_TESS,115.09439,0,0,57.524063,4650.6006,2.3562372,-0.65861
2M19121778-2155229,lco25m,015-14,120.04996,0,0,27.87453,4537.127,2.7309937,0.36383
2M07440779-7238092,lco25m,285-22-O_TESS,125.423,0,0,35.031525,4656.8228,2.427773,0.040555
2M07263744+2700591,apo25m,191+18_btx,434.59283,0,0,22.089643,4542.837,1.8871305,-0.52687
2M19140294+6822256,apo25m,CVZ_OB10_btx,113.167984,0,0,-59.266506,4335.2417,1.9555786,-0.18529
2M13014578+2757406,apo25m,SA57-W,360.92853,0,0,-19.368914,4658.604,2.5109794,-0.28311
